District,Population Density
Buhweju,136
Buhweju,246
Buhweju,103
Buhweju,108
Buhweju,309
Buhweju,197
Buhweju,218
Buhweju,214
Buhweju,161
Buliisa,56.3
Buliisa,45.7
Buliisa,217.4
Buliisa,158.2
Buliisa,270.4
Buliisa,191.3
Buliisa,153.9
Buliisa,101.9
Bundibugyo,917
Bundibugyo,205
Bundibugyo,326
Bundibugyo,1895
Bundibugyo,542
Bundibugyo,166
Bundibugyo,117
Bundibugyo,494
Bundibugyo,334
Bundibugyo,655
Bundibugyo,182
Bundibugyo,300
Bundibugyo,393
Bundibugyo,1265
Bundibugyo,71
Bundibugyo,264
Bushenyi,465.4
Bushenyi,817.9
Bushenyi,237.4
Bushenyi,301.4
Bushenyi,300
Bushenyi,382.3
Bushenyi,402.2
Bushenyi,340.5
Bushenyi,123.4
Bushenyi,309.8
Bushenyi,392.9
Bushenyi,260.8
Bushenyi,277.3
Hoima,289
Hoima,129
Hoima,382
Hoima,405
Hoima,631
Hoima,681
Hoima,67
Hoima,344
Hoima,345
Hoima,385
Hoima,924
Hoima,242
Hoima,197
Hoima,243
Hoima,424
Hoima,5674
Ibanda,208
Ibanda,611
Ibanda,417
Ibanda,238
Ibanda,325
Ibanda,293
Ibanda,257
Ibanda,159
Ibanda,312
Ibanda,319
Ibanda,240
Ibanda,208
Ibanda,184
Ibanda,249
Ibanda,235
Ibanda,257
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Isingiro,
Kabale,1892
Kabale,1403
Kabale,1317
Kabale,434
Kabale,317
Kabale,307
Kabale,165
Kabale,362
Kabale,296
Kabale,321
Kabale,242
Kabale,298
Kabale,281
Kabale,204
Kabale,207
Kabale,1228
Kabale,412
Kabale,341
Kabale,221
Kabale,450
Kabale,325
Kabale,287
Kabale,342
Kabale,166
Kabale,316
Kabale,314
Kabarole,1103
Kabarole,1569
Kabarole,1433
Kabarole,310
Kabarole,307
Kabarole,232
Kabarole,268
Kabarole,176
Kabarole,403
Kabarole,597
Kabarole,467
Kabarole,133
Kabarole,308
Kabarole,456
Kabarole,544
Kabarole,308
Kabarole,41
Kabarole,243
Kabarole,633
Kabarole,617
Kabarole,289
Kabarole,112
Kabarole,130
Kabarole,404
Kabarole,259
Kamwenge,204
Kamwenge,91
Kamwenge,236
Kamwenge,88
Kamwenge,225
Kamwenge,237
Kamwenge,150
Kamwenge,95
Kamwenge,283
Kamwenge,80
Kamwenge,308
Kamwenge,288
Kamwenge,102
Kamwenge,283
Kamwenge,245
Kamwenge,-
Kamwenge,177
Kanungu,3223.4
Kanungu,283.3
Kanungu,303.7
Kanungu,1456.3
Kanungu,331.6
Kanungu,273.8
Kanungu,216.5
Kanungu,231.6
Kanungu,68.9
Kanungu,403.5
Kanungu,227.3
Kanungu,222.1
Kanungu,56.9
Kanungu,240.9
Kanungu,254.6
Kanungu,312.7
Kanungu,153.1
Kanungu,197.7
Kasese,212
Kasese,1224
Kasese,853
Kasese,173
Kasese,489
Kasese,1316
Kasese,217
Kasese,448
Kasese,275
Kasese,610
Kasese,1283
Kasese,77
Kasese,485
Kasese,170
Kasese,414
Kasese,312
Kasese,183
Kasese,673
Kasese,270
Kasese,157
Kasese,35
Kasese,627
Kasese,217
Kasese,2555
Kasese,61
Kasese,793
Kasese,48
Kasese,295
Kasese,374
Kasese,236
Kibaale,267
Kibaale,95
Kibaale,233
Kibaale,112
Kibaale,110
Kibaale,259
Kibaale,176
Kibaale,201
Kibaale,477
Kibaale,201
Kibaale,185
Kibaale,148
Kibaale,288
Kibaale,161
Kibaale,436
Kibaale,308
Kibaale,227
Kibaale,275
Kibaale,121
Kibaale,255
Kibaale,260
Kibaale,116
Kibaale,186
Kibaale,271
Kibaale,131
Kibaale,205
Kibaale,419
Kibaale,99
Kibaale,229
Kibaale,130
Kibaale,143
Kibaale,-
Kibaale,198
Kibaale,257
Kibaale,263
Kibaale,193
Kiruhura,111
Kiruhura,73
Kiruhura,144
Kiruhura,207
Kiruhura,73
Kiruhura,97
Kiruhura,119
Kiruhura,122
Kiruhura,65
Kiruhura,36
Kiruhura,53
Kiruhura,44
Kiruhura,189
Kiruhura,155
Kiruhura,27
Kiruhura,85
Kiruhura,15
Kiruhura,108
Kiruhura,72
Kiryandongo,704
Kiryandongo,150
Kiryandongo,685
Kiryandongo,36
Kiryandongo,290
Kiryandongo,404
Kiryandongo,34
Kiryandongo,101
Kiryandongo,74
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kisoro,
Kyegegwa,162
Kyegegwa,194
Kyegegwa,157
Kyegegwa,185
Kyegegwa,296
Kyegegwa,192
Kyegegwa,217
Kyegegwa,95
Kyegegwa,134
Kyegegwa,161
Kyenjojo,161
Kyenjojo,166
Kyenjojo,224
Kyenjojo,221
Kyenjojo,228
Kyenjojo,171
Kyenjojo,272
Kyenjojo,167
Kyenjojo,204
Kyenjojo,96
Kyenjojo,190
Kyenjojo,189
Kyenjojo,414
Kyenjojo,209
Kyenjojo,233
Kyenjojo,118
Kyenjojo,179
Masindi,1433
Masindi,326
Masindi,233
Masindi,192
Masindi,38
Masindi,104
Masindi,17
Masindi,62
Masindi,84
Masindi,74.1
Mbarara,195
Mbarara,170
Mbarara,4667
Mbarara,2167
Mbarara,246
Mbarara,1198
Mbarara,114
Mbarara,220
Mbarara,230
Mbarara,266
Mbarara,217
Mbarara,335
Mbarara,200
Mbarara,120
Mbarara,318
Mbarara,219
Mbarara,204
Mbarara,265
Mitooma,398
Mitooma,370
Mitooma,311
Mitooma,339
Mitooma,501
Mitooma,329
Mitooma,342
Mitooma,299
Mitooma,350
Mitooma,424
Mitooma,255
Mitooma,391
Mitooma,337
Ntoroko,43
Ntoroko,47
Ntoroko,33
Ntoroko,986
Ntoroko,127
Ntoroko,617
Ntoroko,28
Ntoroko,228
Ntoroko,10
Ntoroko,873
Ntoroko,54
Ntungamo,553
Ntungamo,187
Ntungamo,887
Ntungamo,376
Ntungamo,368
Ntungamo,161
Ntungamo,274
Ntungamo,387
Ntungamo,269
Ntungamo,118
Ntungamo,232
Ntungamo,264
Ntungamo,203
Ntungamo,180
Ntungamo,332
Ntungamo,193
Ntungamo,354
Ntungamo,159
Ntungamo,291
Ntungamo,497
Ntungamo,236
Ntungamo,236
Rubirizi,355
Rubirizi,393
Rubirizi,955
Rubirizi,18
Rubirizi,40
Rubirizi,269
Rubirizi,126
Rubirizi,392
Rubirizi,1578
Rubirizi,82
Rubirizi,348
Rubirizi,118
Rukungiri,265
Rukungiri,332
Rukungiri,315
Rukungiri,55
Rukungiri,337
Rukungiri,301
Rukungiri,258
Rukungiri,267
Rukungiri,324
Rukungiri,450
Rukungiri,572
Rukungiri,1092
Rukungiri,219
Sheema,318
Sheema,547
Sheema,264
Sheema,228
Sheema,236
Sheema,312
Sheema,326
Sheema,327
Sheema,314
Sheema,178
Sheema,362
Sheema,270
Sheema,297
Abim,69
Abim,155
Abim,14
Abim,121
Abim,84
Abim,43
Abim,46
Adjumani,2271
Adjumani,150
Adjumani,63
Adjumani,86
Adjumani,181
Adjumani,24
Adjumani,176
Adjumani,88
Adjumani,82
Adjumani,17
Adjumani,76
Agago,51.9
Agago,122.6
Agago,59.2
Agago,437.5
Agago,78.1
Agago,61.1
Agago,47.4
Agago,68
Agago,52.9
Agago,36.1
Agago,95.8
Agago,66.5
Agago,59.1
Agago,101.4
Agago,374.3
Agago,54.4
Agago,65.1
Alebtong,214
Alebtong,137
Alebtong,160
Alebtong,217
Alebtong,169
Alebtong,199
Alebtong,182
Alebtong,177
Alebtong,89
Alebtong,148
Amolatar,187
Amolatar,127
Amolatar,187
Amolatar,240
Amolatar,142
Amolatar,165
Amolatar,183
Amolatar,152
Amolatar,126
Amolatar,54
Amolatar,202
Amolatar,127
Amudat,51
Amudat,1932.1
Amudat,47.9
Amudat,89
Amudat,65.5
Amuru,34
Amuru,135
Amuru,29
Amuru,124
Amuru,72
Amuru,52
Apac,159
Apac,191
Apac,289
Apac,61
Apac,146
Apac,446
Apac,140
Apac,99
Apac,101
Apac,179
Apac,159
Apac,125
Arua,12761
Arua,2731
Arua,479
Arua,412
Arua,84
Arua,64
Arua,160
Arua,639
Arua,484
Arua,140
Arua,1167
Arua,-
Arua,435
Arua,182
Arua,529
Arua,103
Arua,100
Arua,44
Arua,40
Arua,421
Arua,312
Arua,979
Arua,75
Arua,96
Arua,91
Arua,68
Arua,72
Arua,373
Arua,180
Dokolo,186
Dokolo,166
Dokolo,129
Dokolo,196
Dokolo,172
Dokolo,215
Dokolo,226
Dokolo,207
Dokolo,212
Dokolo,184
Dokolo,185
Dokolo,182
Gulu,1884
Gulu,2759
Gulu,3153
Gulu,3789
Gulu,76
Gulu,125
Gulu,176
Gulu,134
Gulu,121
Gulu,88
Gulu,75
Gulu,116
Gulu,54
Gulu,26
Gulu,68
Gulu,122
Gulu,127
Kaabong,168
Kaabong,856
Kaabong,194
Kaabong,128
Kaabong,5
Kaabong,42
Kaabong,80
Kaabong,13
Kaabong,26
Kaabong,15
Kaabong,12
Kaabong,3
Kaabong,16
Kaabong,24
Kaabong,23
Kitgum,
Kitgum,
Kitgum,
Kitgum,
Kitgum,
Kitgum,
Kitgum,
Kitgum,
Kitgum,
Kitgum,
Kitgum,
Koboko,
Koboko,
Koboko,
Koboko,
Koboko,
Koboko,
Koboko,
Koboko,
Koboko,
Koboko,
Kole,227
Kole,186
Kole,244
Kole,220
Kole,230
Kole,211
Kole,231
Kole,223
Kotido,28
Kotido,57
Kotido,612
Kotido,64
Kotido,46
Kotido,59
Kotido,50
Lamwo,30
Lamwo,87
Lamwo,26
Lamwo,14
Lamwo,106
Lamwo,262
Lamwo,43
Lamwo,18
Lamwo,15
Lamwo,22
Lamwo,8
Lamwo,24
Lira,569
Lira,2793
Lira,193
Lira,256
Lira,177
Lira,272
Lira,131
Lira,2631
Lira,477
Lira,308
Lira,160
Lira,4544
Lira,995
Lira,307
Maracha,424
Maracha,650
Maracha,571
Maracha,384
Maracha,412
Maracha,427
Maracha,398
Maracha,368
Maracha,423
Moyo,209
Moyo,49
Moyo,51
Moyo,26
Moyo,124
Moyo,105
Moyo,78
Moyo,85
Moyo,1411
Moyo,73
Nakapiripirit,63
Nakapiripirit,52
Nakapiripirit,21
Nakapiripirit,19
Nakapiripirit,18
Nakapiripirit,56
Nakapiripirit,828
Nakapiripirit,63
Nakapiripirit,37
Napak,67
Napak,9
Napak,19
Napak,51
Napak,25
Napak,49
Napak,78
Napak,113
Napak,29
Nebbi,76
Nebbi,147
Nebbi,993
Nebbi,177
Nebbi,193
Nebbi,97
Nebbi,253
Nebbi,210
Nebbi,396
Nebbi,115
Nebbi,304
Nebbi,198
Nebbi,646
Nebbi,187
Nebbi,311
Nebbi,196
Nwoya,31.4
Nwoya,69.3
Nwoya,10.5
Nwoya,464.9
Nwoya,17.4
Nwoya,28.5
Otuke,60.7
Otuke,91.5
Otuke,53
Otuke,58.7
Otuke,88.9
Otuke,52.4
Otuke,71.8
Otuke,96
Otuke,67.3
Oyam,117.1
Oyam,128.9
Oyam,161.6
Oyam,236.7
Oyam,185.1
Oyam,298.9
Oyam,172.9
Oyam,291.5
Oyam,107
Oyam,156.9
Oyam,192.1
Oyam,197.8
Oyam,174.7
Pader,112
Pader,22
Pader,54
Pader,61
Pader,30
Pader,53
Pader,56
Pader,36
Pader,47
Pader,207
Pader,71
Pader,62
Pader,54
Yumbe,456
Yumbe,112
Yumbe,311
Yumbe,125
Yumbe,120
Yumbe,142
Yumbe,245
Yumbe,734
Yumbe,392
Yumbe,105
Yumbe,274
Yumbe,256
Yumbe,1634
Yumbe,209
Zombo,428
Zombo,145
Zombo,250
Zombo,235
Zombo,264
Zombo,122
Zombo,1906
Zombo,365
Zombo,223
Zombo,291
Zombo,256
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Buikwe,
Bukomansimbi,223
Bukomansimbi,399
Bukomansimbi,262
Bukomansimbi,320
Bukomansimbi,206
Bukomansimbi,252
Butambala,236
Butambala,284
Butambala,312
Butambala,236
Butambala,374
Butambala,171
Butambala,249
Buvuma,
Buvuma,
Buvuma,
Buvuma,
Buvuma,
Buvuma,
Buvuma,
Buvuma,
