"country","major_cost_category","program_area","year","expenditures","cost_category"
Uganda,Investment,"Facility-based Care, Treatment, and Support",2014,2020930,Training (in-service)
Uganda,Investment,"Facility-based Care, Treatment, and Support",2014,1067493,Construction & renovation
Uganda,Investment,"Facility-based Care, Treatment, and Support",2014,276811,Vehicles
Uganda,Investment,"Facility-based Care, Treatment, and Support",2014,438236,Equipment and furniture
Uganda,Investment,"Facility-based Care, Treatment, and Support",2014,995064,Other investment expenditures
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,13974097,Personnel
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,40211678,Antiretroviral drugs (ARVs)
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,1828053,Non-ARV drugs and reagents
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,2300182,HIV Test Kits
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,72116,Condoms
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,18003320,Other supplies
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,1849860,Food Supplements
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,511559,Building rental and Utilities
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,5665498,Travel / Transport
Uganda,Recurrent,"Facility-based Care, Treatment, and Support",2014,2832425,Other site recurrent expenditures
Uganda,Program Management,"Facility-based Care, Treatment, and Support",2014,11174746,Personnel
Uganda,Program Management,"Facility-based Care, Treatment, and Support",2014,285323,Consultants (External)
Uganda,Program Management,"Facility-based Care, Treatment, and Support",2014,633726,Transport & Travel
Uganda,Program Management,"Facility-based Care, Treatment, and Support",2014,7213366,Other General & Administrative
Uganda,Strategic Information,"Facility-based Care, Treatment, and Support",2014,616979,Personnel
Uganda,Strategic Information,"Facility-based Care, Treatment, and Support",2014,144353,Consultants (External)
Uganda,Strategic Information,"Facility-based Care, Treatment, and Support",2014,164369,Transport & Travel
Uganda,Strategic Information,"Facility-based Care, Treatment, and Support",2014,571465,Other General & Administrative
Uganda,Strategic Information,"Facility-based Care, Treatment, and Support",2014,372705,Program Management for SI
Uganda,Health Systems Strengthening,"Facility-based Care, Treatment, and Support",2014,2837852,Personnel
Uganda,Health Systems Strengthening,"Facility-based Care, Treatment, and Support",2014,67115,Consultants (External)
Uganda,Health Systems Strengthening,"Facility-based Care, Treatment, and Support",2014,523983,Transport & Travel
Uganda,Health Systems Strengthening,"Facility-based Care, Treatment, and Support",2014,80056,Construction & renovation
Uganda,Health Systems Strengthening,"Facility-based Care, Treatment, and Support",2014,3219668,Other General & Administrative
Uganda,Health Systems Strengthening,"Facility-based Care, Treatment, and Support",2014,1190586,Program Management for HSS
Uganda,Health Systems Strengthening,"Facility-based Care, Treatment, and Support",2014,115996,Strategic Information for HSS
Uganda,Investment,"Community-based Care, Treatment, and Support",2014,595972,Training (in-service)
Uganda,Investment,"Community-based Care, Treatment, and Support",2014,58979,Construction & renovation
Uganda,Investment,"Community-based Care, Treatment, and Support",2014,4924,Vehicles
Uganda,Investment,"Community-based Care, Treatment, and Support",2014,47708,Equipment and furniture
Uganda,Investment,"Community-based Care, Treatment, and Support",2014,0,Other investment expenditures
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,2770833,Personnel
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,294997,Non-ARV drugs and reagents
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,45286,HIV Test Kits
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,0,Condoms
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,1171257,Other supplies
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,2130,Food Supplements
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,104870,Building rental and Utilities
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,683883,Travel / Transport
Uganda,Recurrent,"Community-based Care, Treatment, and Support",2014,565024,Other site recurrent expenditures
Uganda,Program Management,"Community-based Care, Treatment, and Support",2014,745617,Personnel
Uganda,Program Management,"Community-based Care, Treatment, and Support",2014,63280,Consultants (External)
Uganda,Program Management,"Community-based Care, Treatment, and Support",2014,181087,Transport & Travel
Uganda,Program Management,"Community-based Care, Treatment, and Support",2014,1178711,Other General & Administrative
Uganda,Strategic Information,"Community-based Care, Treatment, and Support",2014,206092,Personnel
Uganda,Strategic Information,"Community-based Care, Treatment, and Support",2014,96033,Consultants (External)
Uganda,Strategic Information,"Community-based Care, Treatment, and Support",2014,66121,Transport & Travel
Uganda,Strategic Information,"Community-based Care, Treatment, and Support",2014,180200,Other General & Administrative
Uganda,Strategic Information,"Community-based Care, Treatment, and Support",2014,111831,Program Management for SI
Uganda,Health Systems Strengthening,"Community-based Care, Treatment, and Support",2014,230829,Personnel
Uganda,Health Systems Strengthening,"Community-based Care, Treatment, and Support",2014,44901,Consultants (External)
Uganda,Health Systems Strengthening,"Community-based Care, Treatment, and Support",2014,144262,Transport & Travel
Uganda,Health Systems Strengthening,"Community-based Care, Treatment, and Support",2014,39482,Construction & renovation
Uganda,Health Systems Strengthening,"Community-based Care, Treatment, and Support",2014,227005,Other General & Administrative
Uganda,Health Systems Strengthening,"Community-based Care, Treatment, and Support",2014,132265,Program Management for HSS
Uganda,Health Systems Strengthening,"Community-based Care, Treatment, and Support",2014,97737,Strategic Information for HSS
Uganda,Investment,Preventing Mother-to-Child Transmission,2014,1355776,Training (in-service)
Uganda,Investment,Preventing Mother-to-Child Transmission,2014,63244,Construction & renovation
Uganda,Investment,Preventing Mother-to-Child Transmission,2014,5298,Vehicles
Uganda,Investment,Preventing Mother-to-Child Transmission,2014,168830,Equipment and furniture
Uganda,Investment,Preventing Mother-to-Child Transmission,2014,797307,Other investment expenditures
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,3676796,Personnel
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,420294,Antiretroviral drugs (ARVs)
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,182300,Non-ARV drugs and reagents
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,121598,HIV Test Kits
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,0,Condoms
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,1272520,Other supplies
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,26461,Food Supplements
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,40995,Building rental and Utilities
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,815095,Travel / Transport
Uganda,Recurrent,Preventing Mother-to-Child Transmission,2014,796131,Other site recurrent expenditures
Uganda,Program Management,Preventing Mother-to-Child Transmission,2014,2525744,Personnel
Uganda,Program Management,Preventing Mother-to-Child Transmission,2014,146934,Consultants (External)
Uganda,Program Management,Preventing Mother-to-Child Transmission,2014,385527,Transport & Travel
Uganda,Program Management,Preventing Mother-to-Child Transmission,2014,2818046,Other General & Administrative
Uganda,Strategic Information,Preventing Mother-to-Child Transmission,2014,335592,Personnel
Uganda,Strategic Information,Preventing Mother-to-Child Transmission,2014,47925,Consultants (External)
Uganda,Strategic Information,Preventing Mother-to-Child Transmission,2014,99282,Transport & Travel
Uganda,Strategic Information,Preventing Mother-to-Child Transmission,2014,243034,Other General & Administrative
Uganda,Strategic Information,Preventing Mother-to-Child Transmission,2014,115231,Program Management for SI
Uganda,Health Systems Strengthening,Preventing Mother-to-Child Transmission,2014,688376,Personnel
Uganda,Health Systems Strengthening,Preventing Mother-to-Child Transmission,2014,45938,Consultants (External)
Uganda,Health Systems Strengthening,Preventing Mother-to-Child Transmission,2014,314599,Transport & Travel
Uganda,Health Systems Strengthening,Preventing Mother-to-Child Transmission,2014,22152,Construction & renovation
Uganda,Health Systems Strengthening,Preventing Mother-to-Child Transmission,2014,933292,Other General & Administrative
Uganda,Health Systems Strengthening,Preventing Mother-to-Child Transmission,2014,140392,Program Management for HSS
Uganda,Health Systems Strengthening,Preventing Mother-to-Child Transmission,2014,56904,Strategic Information for HSS
Uganda,Investment,Voluntary Medical Male Circumcision,2014,826240,Training (in-service)
Uganda,Investment,Voluntary Medical Male Circumcision,2014,159408,Construction & renovation
