"country","budget_name","office_name","amount","agency_name","agency","year","budget_code","program","office"
Uganda,Adult Care and Support,USAID,1.4458535E7,USAID,USAID,2005,HBHC,Care,USAID
Uganda,Adult Care and Support,USAID,1.2113633E7,USAID,USAID,2006,HBHC,Care,USAID
Uganda,Adult Care and Support,USAID,1.4619229E7,USAID,USAID,2007,HBHC,Care,USAID
Uganda,Adult Care and Support,USAID,1.5767565E7,USAID,USAID,2008,HBHC,Care,USAID
Uganda,Adult Care and Support,USAID,1.3023912E7,USAID,USAID,2009,HBHC,Care,USAID
Uganda,Adult Care and Support,USAID,1.2509616E7,USAID,USAID,2010,HBHC,Care,USAID
Uganda,Adult Care and Support,USAID,1.2835616E7,USAID,USAID,2011,HBHC,Care,USAID
Uganda,Adult Care and Support,USAID,1.3497604E7,USAID,USAID,2012,HBHC,Care,USAID
Uganda,Adult Care and Support,USAID,1.302061E7,USAID,USAID,2013,HBHC,Care,USAID
Uganda,Adult Care and Support,HHS/ALL,5556117,HHS/ALL,HHS/ALL,2005,HBHC,Care,HHS/ALL
Uganda,Adult Care and Support,Peace Corps,80000,Peace Corps,Peace,2005,HBHC,Care,Peace
Uganda,Adult Care and Support,Peace Corps,132900,Peace Corps,Peace,2006,HBHC,Care,Peace
Uganda,Adult Care and Support,Peace Corps,290100,Peace Corps,Peace,2007,HBHC,Care,Peace
Uganda,Adult Care and Support,Peace Corps,557820,Peace Corps,Peace,2008,HBHC,Care,Peace
Uganda,Adult Care and Support,Peace Corps,707820,Peace Corps,Peace,2009,HBHC,Care,Peace
Uganda,Adult Care and Support,Peace Corps,0,Peace Corps,Peace,2010,HBHC,Care,Peace
Uganda,Adult Care and Support,Peace Corps,0,Peace Corps,Peace,2011,HBHC,Care,Peace
Uganda,Adult Care and Support,Peace Corps,4926,Peace Corps,Peace,2012,HBHC,Care,Peace
Uganda,Adult Care and Support,Peace Corps,0,Peace Corps,Peace,2013,HBHC,Care,Peace
Uganda,Adult Care and Support,HHS/CDC,5553721,HHS/ALL,HHS/ALL,2006,HBHC,Care,HHS/CDC
Uganda,Adult Care and Support,HHS/CDC,8920349,HHS/ALL,HHS/ALL,2007,HBHC,Care,HHS/CDC
Uganda,Adult Care and Support,HHS/CDC,1.0214343E7,HHS/ALL,HHS/ALL,2008,HBHC,Care,HHS/CDC
Uganda,Adult Care and Support,HHS/CDC,8530793,HHS/ALL,HHS/ALL,2009,HBHC,Care,HHS/CDC
Uganda,Adult Care and Support,HHS/CDC,7577065,HHS/ALL,HHS/ALL,2010,HBHC,Care,HHS/CDC
Uganda,Adult Care and Support,HHS/CDC,7978800,HHS/ALL,HHS/ALL,2011,HBHC,Care,HHS/CDC
Uganda,Adult Care and Support,HHS/CDC,1.9896582E7,HHS/ALL,HHS/ALL,2012,HBHC,Care,HHS/CDC
Uganda,Adult Care and Support,HHS/CDC,1.9754864E7,HHS/ALL,HHS/ALL,2013,HBHC,Care,HHS/CDC
Uganda,Adult Care and Support,HHS/HRSA,110362,HHS/ALL,HHS/ALL,2006,HBHC,Care,HHS/HRSA
Uganda,Adult Care and Support,HHS/HRSA,200000,HHS/ALL,HHS/ALL,2007,HBHC,Care,HHS/HRSA
Uganda,Adult Care and Support,HHS/HRSA,370000,HHS/ALL,HHS/ALL,2008,HBHC,Care,HHS/HRSA
Uganda,Adult Care and Support,HHS/HRSA,296000,HHS/ALL,HHS/ALL,2009,HBHC,Care,HHS/HRSA
Uganda,Adult Care and Support,HHS/HRSA,296000,HHS/ALL,HHS/ALL,2010,HBHC,Care,HHS/HRSA
Uganda,Adult Care and Support,HHS/HRSA,0,HHS/ALL,HHS/ALL,2011,HBHC,Care,HHS/HRSA
Uganda,Adult Care and Support,HHS/NIH,0,HHS/ALL,HHS/ALL,2011,HBHC,Care,HHS/NIH
