UGANDA MEDICAL AND DENTAL PRACTITIONERS COUNCIL,,,,,,,,,,,,,,,,,,,,,,
OPERATING LICENCE REGISTER AS OF 31/12/2016,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Reg No.,Name,Owner ,Supervisor ,Plot,Ward,Division,District,Village,Sub County,County,District,Category Of Health Unit ,Health Unit Status,Number of Beds,Laboratory Services,X-ray Services,Radiotherapy Services,Ambulance Services,Other Services,Receipt No.,Serial No.,OL 2016
HUA0210,6K DOCTORS' CLINIC,KALYESUBULA JOHN,DR KALYESUBULA JOHN,,,,,BUNAMWAYA,MAKINDYE,SABAGABO,WAKISO,Medical,Out Patient and In Patient ,4,Yes,No,No,No,"FP, IMMUNISATION",21234,515,22/03/16
HUA0004,A & A MEDICAL CENTRE,NANTONGO JOSEPHINE,DR LUYIMBAAZI JULIUS,JOMAYI ESTATE KATALE,BUNAMWAYA,"MAKINDYE, SABBADDU",KAMPALA,,,,,Medical,Out Patient ,3,Yes,No,No,No,,19994,254,22/02/16
HUA0007,AAR ACACIA HEALTH CENTRE,AAR HEALTH CARE UGANDA LIMITED,DR NAMALE VIVIAN SSONKO,"6,MAKINDU CLOSE",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,Yes,No,Yes,"FP,IMMUNIZATION",23953,1754,25/07/16
HUA0008,AAR BWEYOGERERE CLINIC,AAR HEALTH CARE UGANDA LIMITED,DR MUWEREZA PETER,"175,BWEYOGERERE",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,Yes,No,Yes,GYNAECOLOGICAL SERVICE,23955,1750,25/07/16
HUA0009,AAR CITY CENTRE CLINIC,AAR HEALTH SERVICES UGANDA LTD,DR ABALA CATHERINE,PARLIAMENT PLAZA,,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,Yes,No,Yes,"FP,IMMUNIZATION",23954,1755,25/07/16
HUA0010,AAR CLINIC GULU,AAR HEALTH SERVICES,DR GULOBA UMARASHID,"9/11,QUEENS AVENUE",,LARO,GULU,,,,,Medical and Dental ,Out Patient and In Patient ,4,Yes,Yes,No,No,"FP,IMMUNIZATION",23951,1752,25/07/16
HUA0255,AAR ENTEBBE CLINIC,AAR HEALTH CARE UGANDA LTD,DR BIBANGAMBAH ESTHER MULUNGI,"PLOT 34,BERKLEY ROAD",,DIVISION A,WAKISO,,,,,Medical,Out Patient ,,No,Yes,No,No,,23961,1751,25/07/16
HUA0011,"AAR HEALTH CENTRE,BUGOLOBI",AAR HEALTH CARE UGANADA LIMITED,DR ODOT MOSES,"41-47, 5TH STREET",,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,Yes,"IMMUNIZATION,FP",23962,1758,25/07/16
HUA0012,AAR KABALAGALA HEALTH CENTRE,AAR HEALTH CARE UGANDA LIMITED,DR NAKASOMA ANGELLA,"1469,GABA RD",,MAKINDYE,KAMPALA,,,,,Medical,In Patient ,2,Yes,No,No,Yes,"FP,IMMUNIZATION",23960,1757,25/07/16
HUA0256,AAR MAKERERE HEALTH CENTRE,AAR HEALTH CARE UGANDA LTD,DR NTEGE PETER,MAKERERE,,KAWEMPE,KAMPALA,,,,,Medical,Out Patient ,,No,No,No,No,,23959,1756,25/07/16
HUA0013,AAR NTINDA HEALTH CENTRE,AAR HEALTH CARE UGANDA LIMITED,DR ALIYINZA ESTHER,"49,NTINDA RD",,NAKAWA,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,Yes,Yes,Yes,DRUG DISPENSARY,23952,1753,25/07/16
HUA0212,ABAASE DISPENSARY NAKASAJJA,KAKEMBO ABBAS LUBERENGA,DR KAKEMBO ABBAS LUBERENGA,NAKASAJJA,KYAMPISI,MUKONO,MUKONO,,,,,Medical,Out Patient ,,Yes,No,No,No,FP,24012,1213,19/05/16
HUA0071,ABEDOBER HEALTH CENTRE III,LITTLE SISTERS OF MARY IMMACULATE OF GUL,DHO LIRA,,,,,ABEDOBER,ABONGOMOLA,KWANIA,APAC,Medical,Out Patient and In Patient ,15,Yes,No,No,No,,19835,384,20/03/16
