NAME,OWNER,SUPERVISOR,,,,,,,,
6K DOCTORS' CLINIC,KALYESUBULA JOHN,DR KALYESUBULA JOHN,,,,,,,,
7 HILLS MEDICAL CENTRE,"DR OMODING ABRAHAMS, MASABA BENON,NATIF",DR MASABA JOSEPH BENON,,,,,,,,
A & A MEDICAL CENTRE,NANTONGO JOSEPHINE,DR LUYIMBAAZI JULIUS,,,,,VILLAGE,SUB COUNTY,COUNTY,DISTRICT
A & B FAMILY CLINIC,AKAMPURIRA SHARON,DR SSEMUGENYI AUGUSTINE KASOZI,,,,,BUNAMWAYA,MAKINDYE,SABAGABO,WAKISO
A & C MEDICAL CLINIC,ANNET & CALEB TUMWESIMIRE,DR MUTUNGI GERALD,"86, OLD KIRA ROAD",,NAKAWA,KAMPALA,,,,
A.C.T.V CLINIC,ACTV,DR ALOYO JUDITH,JOMAYI ESTATE KATALE,BUNAMWAYA,"MAKINDYE, SABBADDU",KAMPALA,,,,
AAR ACACIA HEALTH CENTRE,AAR HEALTH CARE UGANDA LIMITED,DR KINENE HENRY,,,,,"SEETA,NAMILYANGO RD",GOMA,,MUKONO
AAR BWEYOGERERE CLINIC,AAR HEALTH CARE UGANDA LIMITED,DR LUGOLOBI STEPHEN,,KASUBI,RUBAGA,KAMPALA,,,,
AAR CLINIC GULU,AAR HEALTH SERVICES,DR ALIYINZA ESTHER,"OKWERA ROAD, GULU",GULU,MUNICIPALITY,GULU,,,,
AAR ENTEBBE CLINIC,AAR HEALTH CARE UGANDA LTD,DR MUYAKA DENIS,"6,MAKINDU CLOSE",,CENTRAL,KAMPALA,,,,
AAR FREEDOM CITY,AAR HEALTH CARE UGANDA LTD,DR NANJULA LYDIA,"175,BWEYOGERERE",,CENTRAL,KAMPALA,,,,
"AAR HEALTH CENTRE,BUGOLOBI",AAR HEALTH CARE UGANADA LIMITED,DR EWOCHU EMMANUEL JACOB,"9/11,QUEENS AVENUE",,LARO,GULU,,,,
AAR HEALTHCARE UGANDA LTD CITY CENTRE BRANCH,AAR HEALTH SERVICES UGANDA LTD,DR KARANGA SOLLIN,"PLOT 34,BERKLEY ROAD",,DIVISION A,WAKISO,,,,
AAR KABALAGALA HEALTH CENTRE,AAR HEALTH CARE UGANDA LIMITED,DR NAKASOMA ANGELLA,ENTEBBE ROAD,,NAMASUBA,WAKISO,,,,
AAR MAKERERE HEALTH CENTRE,AAR HEALTH CARE UGANDA LTD,DR BAKYENGA VICENT,"41-47, 5TH STREET",,NAKAWA,KAMPALA,,,,
AAR NTINDA HEALTH CENTRE,AAR HEALTH CARE UGANDA LIMITED,DR GUMUSIRIZA NOLBERT,PARLIAMENT PLAZA,,CENTRAL,KAMPALA,,,,
AB MEDICAL CENTRE,AKANKWASA DAVIS,DR AKANKWASA PIUS,"1469,GABA RD",,MAKINDYE,KAMPALA,,,,
AB MEDICAL CENTRE,AMINA BAKO SEBBI,DR ETIMA MONICA,MAKERERE,,KAWEMPE,KAMPALA,,,,
ABA CLINIC,KYANDA PHILIP,DR KYANDA PHILIP,"49,NTINDA RD",,NAKAWA,KAMPALA,,,,
ABA MEDICAL CENTRE,KANSIIME DENNIS,DR MUSINGUZI ELLY,"KA 382,KIREKA",,KIIRA,WAKISO,,,,
ABAASE DISPENSARY NAKASAJJA,KAKEMBO ABBAS LUBERENGA,DR KAKEMBO ABBAS LUBERENGA,KAMULI,,KIREKA,WAKISO,,,,
ABAGHUMA CLINIC,KULE JOSUA,DR SESSANGA KADDU STEPHEN,KANYANYA,,KAWEMPE,KAMPALA,,,,
ABAITA MEDICAL CENTRE,RWENZORI MEDICAL SUPPLIES & ENGINEERING,DR TWINOBUHUNGIRO ASKA MANTOMBO,MBOGO ZONE,,KAWEMPE,KAMPALA,,,,
ABAITAKAMU CLINIC,RWABWOOGO ROSE/FR. MWESIGE W.,DR WAISWA K MUSA,NAKASAJJA,KYAMPISI,MUKONO,MUKONO,,,,
ABAKO ELIM HEALTH CENTRE,UPMB,DR ODONGO ISAAC,"MAIN STREET, BUNDIBUGYO",,TOWN COUNCIL,BUNDIBUGYO,,,,
ABC DOCTOR'S CLINIC,NANFUKA YUDAYA,DR LUBWAMA FREDDIE MOSES,,,,,ABAITA,KATABI,BUSIRO,WAKISO
ABEDOBER HEALTH CENTRE III,LITTLE SISTERS OF MARY IMMACULATE OF GUL,DHO LIRA,NYANTUNGO RD,TOWNSHIP,TOWN COUNCIL,KYENJOJO,,,,
ABII CLINIC AND LAB SERVICES LTD.,I. KATUMBA N. KATUMBA & MUTUMBA S,DR MUTUMBA KISAKYE SAMUEL,,,,,ABAKO,ABAKO,,LIRA
ABINORLD CLINIC,OKWIR MARK,DR OKWIR MARK,,,,,KYENGERA,SSISA,,WAKISO
ABIRIAMBATI GENERAL CLINIC,ATIKU ISAAC OPIKA,DR ATIKU ISAAC OPIKA,,,,,ABEDOBER,ABONGOMOLA,KWANIA,APAC
