UGANDA MEDICAL AND DENTAL PRACTITIONERS COUNCIL,,,,,,,,,,
REGISTERED UPMB HEALTH CENTRES AS OF 31/12/2016,,,,,,,,,,
,,,,,,,,,,
NAME,OWNER,SUPERVISOR,PLOT,WARD,DIVISION,DISTRICT,VILLAGE,SUB COUNTY,COUNTY,DISTRICT
ABAKO ELIM HEALTH CENTRE,UPMB,DR ODONGO ISAAC,,,,,ABAKO,ABAKO,,LIRA
AMAI COMMUNITY HOSPITAL,UPMB,DR ALIGA SIMON,,,,,AMAI,APUTI,KYOGA,AMOLATAR
AMUCA SDA HEALTH CENTRE III,UPMB (SDA),DHO LIRA,,,,,OLAKA,LIRA,ERUTE,LIRA
AMURIA COU HC II,UPMB,DR ONYIGE THOMAS ACQUINAS,,,,,WILLA ATUKITUK,KUJU,AMURIA,KATAKWI
AMUSUS C.B.O.,UPMB (CBO),DR KATAWERA ANDREW,,,,,ARITEI TRADING CENTRE,KUJU,,KATAKWI
ANYAVU HEALTH CENTRE II,UPMB,DHO,,,,,ARUA,LOGIRI,,ARUA
ANYIRIBU HEALTH CENTRE III,UPMB,DHO ARUA,,,,,PEERA,ANYIRIBU,MADI,ARUA
BBIRA HEALTH CENTRE,UPMB,DR KASOZI FRANCIS MBALIRE,,,,,NAKABUGO,MUMYUKA/WAKISO,BUSIRO EAST,WAKISO
BIRERE C.O.U HEALTH CENTRE II,UPMB,DR TWINOMUGISHA B. STEPHEN,,,,,BIRERE,KASANA,,ISINGIRO
BITOOMA HEALTH CARE III,UPMB,DHO,,,,,BITOOMA,KYAMUHUNGA,IGARA,BUSHENYI
BUKAYA HEALTH CENTRE,UPMB,DR KIZITO DRAKE,"NYENGA RD, BUKAYA",NORTH EAST,,MUKONO,,,,
BUKWIRI HEALTH CENTRE II,UPMB,DR SEREBE JOHN BOSCO,,,,,BUKWIRI,BUTEMBA,KIBOGA WEST,KIBOGA
BULULU C.O.U. HEALTH UNIT II,UPMB,DR OKIA SIMON PETER,,,,,OBUR,BULULU,KALAKI,KABERAMAIDO
BUWASUNGUYI HEALTH CENTRE III,UPMB (DELIVERANCE CHURCH),DR OLUPOT OLUPOT PETER,,,,,SISONGOFA,NAMABYA,,MANAFWA
BWEYOGERERE SDA. H/C III,UPMB,DHO WAKISO,,,,,BWEYOGERERE,KIIRA,KYADONDO,WAKISO
CURE CHILDREN'S HOSPITAL OF UGANDA,UPMB (CURE INTERNATIONAL),DR SSENYONGA PETER KATO,"95-105, BUGWERE",,MUNICIPALITY,MBALE,,,,
