Period,Background Characteristic ,Particulars of the Background Characteristic,BCG,DPT 1,DPT 2,DPT 3,Polio 0,Polio 1,Polio 2,Polio 3,Pneumococcal 1,Pneumococcal 2,Pneumococcal 3,Measles,"All (BCG, measles, and three doses each of DPT and polio vaccine (excluding polio vaccine given at birth))",All basic Vaccisinations ,All age appropriate Vaccinations , Percentage with Vaccination Card seen,No vaccinations ,number of Children 
UDHS 2016,Sex,Male,96.1,95.2,90.1,78.7,78.9,95.2,86.7,66.1,87.4,78.5,65.2,81.4,,55.8,38,,1.1,"1,477"
UDHS 2016,Sex,Female,96.4,94.6,89.7,78.4,80.2,93.7,85.6,65.5,87.5,79.7,63.4,78.6,,54.6,36,,1.5,"1,382"
UDHS 2016,Residence,Urban,97.6,94.6,90.3,77.2,86.7,94.1,84.9,63.3,88.7,81.6,67.6,84.1,,54.5,40.9,,0.5,670
UDHS 2016,Residence,Rural,95.9,95,89.8,79,77.4,94.6,86.5,66.6,87,78.3,63.3,78.8,,55.5,35.9,,1.6,"2,189"
UDHS 2016,Region,South Central,92.5,90.9,85.9,74.8,72.1,91.8,81.4,62,82,70.6,64.1,75.7,,50,31.3,,2.1,360
UDHS 2016,Region,North Central,94.5,92,85.6,75,65.3,94.1,82.2,56.3,83.4,77.2,57.2,73.3,,46.7,25.5,,1.6,313
UDHS 2016,Region,Kampala,99.3,94.8,88.2,80.9,94.7,94.4,83.8,56.9,92.9,80.9,69.7,82.8,,51.1,44.7,,0.7,143
UDHS 2016,Region,Busoga,96.7,93.1,88.9,68.9,79.6,94.9,86.5,57.2,89.5,81.3,64.4,70.2,,44.9,31.9,,3,266
UDHS 2016,Region,Bukedi,97.8,95.6,90.3,76,84.3,95.2,82.2,60.6,92.2,84.8,62.8,77.3,,52.3,39.4,,1.2,192
UDHS 2016,Region,Bugisu,98.7,97.9,84.6,72.5,87,87.1,75.2,56.5,94.2,75.1,53.1,79.8,,47.8,31.1,,0,140
UDHS 2016,Region,Teso,98.6,97.9,97.9,90,94.8,97.3,95.4,78.6,85.7,80.4,63.1,87.2,,67.7,47.5,,0.5,192
UDHS 2016,Region,Karamoja,98.9,98.5,94.4,86.8,93.7,95.3,90.2,78.3,94.8,90,81.6,91.3,,73,64.8,,0,79
UDHS 2016,Region,Lango,96,95.5,92.4,80.2,73.9,96.3,86.3,64.7,79.7,67.9,53,74.5,,50.4,26,,0.7,155
UDHS 2016,Region,Acholi,98.7,98.7,93.6,86,96.9,96.5,92,78.6,96.9,89.9,73.4,84.6,,65.1,54.8,,0,126
UDHS 2016,Region,West Nile,95.9,97.6,93.5,83.1,89.8,96.5,90.8,74.8,91.3,83.5,70.6,82,,63.1,51.5,,1.5,207
UDHS 2016,Region,Bunyoro,93.8,94.4,89.5,79.9,77.9,93.3,89.5,75.7,82.7,77,66.4,84.1,,66.9,45.1,,1.8,149
UDHS 2016,Region,Tooro,96.3,93.7,87.8,74.7,76.3,92.8,84.8,61.5,78.1,71.1,53.8,86.9,,51.2,23.2,,1,241
UDHS 2016,Region,Kigezi,98.3,98.3,95,88.1,87.3,98.5,94.4,78.2,98.6,94.4,83.4,95.6,,72,56.9,,0,87
UDHS 2016,Region,Ankole,96.7,96.9,92.4,83.4,59.9,97.4,90,75.6,91.7,86.1,74.7,82,,61.8,32.8,,1.6,210
UDHS 2016,Special area,Islands,91.7,91.3,81.9,64.3,70.6,90.9,77,50.3,86.1,71.2,54.6,68.1,,37.1,24.4,,3,40
UDHS 2016,Special area,Mountains,98.5,97.9,92.8,79.6,86.8,93.9,84.8,63.1,83.8,74,55.9,87,,54,33.9,,0.4,232
UDHS 2016,Special area,Greater Kampala,97,92.2,86.6,73.8,87.8,92.6,80.7,57.3,86.9,77.2,66.5,81.1,,51.6,42,,1.1,278
UDHS 2016,Mother's education,No education,92.6,92.2,86.4,76.1,74.4,91.5,83.3,69,84.6,77.2,65,76.9,,56.4,38.5,,3.4,251
UDHS 2016,Mother's education,Primary,96,94.9,89.6,77.6,79,94.2,85.6,64.5,86.1,77.7,61.8,76.8,,53.3,34.8,,1.3,"1,736"
UDHS 2016,Mother's education,Secondary,97.5,95.4,90.7,79.2,79,95.5,86.6,67,89.1,80.7,67,85,,57,38.3,,0.7,662
UDHS 2016,Mother's education,More than secondary,98.7,96.6,93.9,87.6,92.1,97.2,92.9,69.5,96,88.1,75.7,94.6,,64.3,50.4,,0.9,210
UDHS 2016,Wealth Quintile,Lowest,95.1,95.3,91.2,78,83.8,94.6,87.3,69.7,86.5,77,62.2,75.9,,56.1,41,,1.6,614
UDHS 2016,Wealth Quintile,Second,96.9,94.9,88.2,77.9,74.8,94.3,84.1,64.6,87.5,79.9,63.9,76.4,,54.7,32.8,,1.2,604
UDHS 2016,Wealth Quintile,Middle,96.3,95.3,90.1,78.4,73.4,95.1,87.9,64.9,86.6,78.4,62.3,83,,55.9,35.1,,1.5,530
UDHS 2016,Wealth Quintile,Fourth,95.2,94.4,90.5,80.9,79.2,95,88,68.6,87.7,79.7,64.7,79.4,,55.2,34.7,,2,498
UDHS 2016,Wealth Quintile,Highest,97.6,94.6,89.5,78,85.6,93.6,84.1,61.8,88.7,80.4,68.2,85.7,,54.3,40.9,,0.4,613
UDHS 2016,Total ,Total,96.3,94.9,89.9,78.6,79.5,94.5,86.2,65.8,87.4,79.1,64.3,80,,55.2,37.1,,1.3,"2,859"
UDHS 2011,Sex,Male,94.1,94.3,87.9,72,67.8,94.2,84.4,63.9,,,,74.8,,51.6,,59.6,3,679
UDHS 2011,Sex,Female,93.3,92,83.3,71,66.6,92.5,82.5,62.1,,,,76.6,,51.7,,58.9,4.4,800
UDHS 2011,Birth order,1,94.9,93.7,85.5,74.2,69,94.8,85,68.2,,,,80.5,,57.9,,62.1,3.8,278
UDHS 2011,Birth order,2 to 3,95.2,95,90.2,77,69.8,95.1,86.5,67.4,,,,78.9,,57.6,,59.4,2.2,460
UDHS 2011,Birth order,4 to 5,94.2,94,84.5,72.1,68.7,92.8,84.2,60.1,,,,77.7,,48.7,,60.7,3.1,318
UDHS 2011,Birth order,6+,90.9,89.9,80.9,63.1,61.8,90.7,78.3,56.7,,,,67.9,,43.3,,55.9,5.8,425
UDHS 2011,Residence,Urban,96.3,94.6,87.7,75.4,83.3,92.1,83.3,69.2,,,,80.8,,60.8,,55.3,3.4,204
UDHS 2011,Residence,Rural,93.3,92.8,85.1,70.8,64.5,93.5,83.4,61.9,,,,75,,50.2,,59.8,3.8,"1,275"
UDHS 2011,Region,Kampala,94.6,91.8,85.9,73.5,76.3,91.6,82.1,71.6,,,,82,,63.4,,54.1,5.4,86
UDHS 2011,Region,Central 1,85.2,84.4,79.8,66.4,55.3,87.3,78.2,51.1,,,,75,,43.9,,44,10.1,153
